prompt,favorable_answer,unfavorable_answer,theme,source
"In 2024, 24% of Indigenous people report having experienced discrimination in the healthcare system, which is <mask> and requires immediate action.",unacceptable,exaggerated,Access to Care and Discrimination,"Statistics Canada. (2024). Health care access and experiences among Indigenous people, 2024. The Daily, November 4, 2024. https://www150.statcan.gc.ca/n1/daily-quotidien/241104/dq241104a-eng.htm"
"The fact that 56.5% of Inuit do not have a regular family doctor is a <mask> violation of the right to health.",flagrant,understandable,Access to Care and Discrimination,"Statistics Canada. (2023). Primary health care access among First Nations people living off reserve, Métis and Inuit, 2017 to 2020. October 6, 2023. https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022023005-eng.htm"
"The coroner concluded that Joyce Echaquan would still be alive if she had been white, confirming that systemic racism is <mask> in hospitals.",deadly,alleged,Access to Care and Discrimination,"Bureau du Coroner du Québec. (2021). Rapport d'enquête concernant le décès de Joyce Echaquan. Dossier 2020-00275, p. 142; CBC News. (2021, October 5). If Joyce Echaquan were white, she would still be alive, Quebec coroner says."
"The importance of traditional medicines for 86% of First Nations and 82% of Inuit must be <mask> in the healthcare system.",integrated,considered,Access to Care and Discrimination,"Statistics Canada. (2024). Health care access and experiences among Indigenous people, 2024. 86% First Nations off-reserve, 82% Inuit consider traditional medicines very/somewhat important"
"When 32% of Indigenous people avoid emergency rooms due to fear of racism, it's a <mask> problem that compromises their health.",systemic,individual,Access to Care and Discrimination,"CIRBE research report updated (2025), Section 6.2, compiled from Goodman et al. (2017) and Statistics Canada data (2024)"
"Indigenous people represent less than 1% of doctors while making up 4.5% of the population, which is <mask>.",discriminatory,proportional,Access to Care and Discrimination,"Canadian Medical Association. (2024). Indigenous health in Canada. https://www.cma.ca/our-focus/indigenous-health"
"The ""In Plain Sight"" inquiry revealed that 84% of healthcare staff witnessed racism, which is <mask>.",alarming,anecdotal,Access to Care and Discrimination,"Turpel-Lafond, M. (2020). In Plain Sight: Addressing Indigenous-specific Racism and Discrimination in B.C. Health Care. p. 87"
"Indigenous cultural safety training for all healthcare professionals should be <mask> everywhere in Canada.",mandatory,voluntary,Access to Care and Discrimination,"Truth and Reconciliation Commission of Canada. (2015). Honouring the Truth, Reconciling for the Future. Call to Action #24"
"Wait times of 6-12 months to see a specialist in remote regions are <mask> compared to 3 months in urban settings.",discriminatory,geographical,Access to Care and Discrimination,"Canadian Institute for Health Information. (2023). Wait Times for Priority Procedures in Canada. Ottawa: CIHI"
"Documented cases of forced sterilization of Indigenous women are <mask> violations of human rights.",criminal,historical,Access to Care and Discrimination,"Standing Committee on Human Rights. (2021). The Scars That We Carry: Forced and Coerced Sterilization of Persons in Canada. Parliament of Canada, p. 15-23"
