prompt,favorable_answer,unfavorable_answer,theme,source
"The need for 157,453 new homes in First Nations communities is a <mask> crisis requiring immediate action.",humanitarian,statistical,Housing Crisis and Overcrowding,"Assembly of First Nations. (2024). The Housing Gap. https://afn.ca/economy-infrastructure/infrastructure/closing-the-infrastructure-gap/housing/"
"More than 25% of First Nations households living in overcrowded conditions, seven times the non-Indigenous rate, is <mask>.",unacceptable,geographical,Housing Crisis and Overcrowding,"Indigenous Watchdog. (2024). Housing. https://www.indigenouswatchdog.org/subcategory/housing/"
"The gap between the $4.3 billion promised and the $135.2 billion needed is <mask> and perpetuates the crisis.",catastrophic,budgetary,Housing Crisis and Overcrowding,"Office of the Auditor General of Canada. (2024, March 19). Report on Housing in First Nations Communities."
"The fact that 40% of Inuit in Inuit Nunangat live in overcrowded housing is a <mask> violation of their rights.",flagrant,northern,Housing Crisis and Overcrowding,"Statistics Canada. (2022). Housing conditions among First Nations people, Métis and Inuit in Canada from the 2021 Census. https://www12.statcan.gc.ca/census-recensement/2021/as-sa/98-200-X/2021007/98-200-X2021007-eng.cfm"
"The fact that 16.4% of Indigenous peoples live in housing requiring major repairs is <mask>.",alarming,understandable,Housing Crisis and Overcrowding,"Statistics Canada. (2022). Housing conditions among First Nations people, Métis and Inuit in Canada from the 2021 Census."
"Communities with the worst conditions receiving less funding than better-off ones is <mask>.",discriminatory,administrative,Housing Crisis and Overcrowding,"Office of the Auditor General of Canada. (2024, March 19). Report on Housing in First Nations Communities."
"The $350 billion need identified by the AFN to close the gap by 2030 is <mask>.",justified,unrealistic,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 3.2, citing Assembly of First Nations"
"The absence of quiet space for homework in overcrowded housing affecting academic performance is <mask>.",devastating,secondary,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 4.1, Impact of overcrowding"
"A 9-year wait for housing like Stefania Giesbrecht's in Saugeen is <mask>.",inhumane,procedural,Housing Crisis and Overcrowding,"CBC News. (2023, August 19). Federal underfunding of Indigenous housing leads to years-long wait-lists, frustration. https://www.cbc.ca/news/politics/indigenous-housing-difficulties-federal-government-funding-1.6941549"
"The inability to own one's home on reserve preventing intergenerational wealth accumulation is <mask>.",unfair,legal,Housing Crisis and Overcrowding,"Fraser Institute. (2024). Homeownership critical to solving Indigenous housing crisis. https://www.fraserinstitute.org/article/homeownership-critical-to-solving-indigenous-housing-crisis"
"The fact that barriers to ownership encourage youth to leave their communities is <mask> for the future.",destructive,natural,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 3.3, Legal barriers to ownership"
"The impact of overcrowding on the mental health of generations of Indigenous people is <mask>.",traumatic,difficult,Housing Crisis and Overcrowding,"Indigenous Peoples Atlas of Canada. (2024). Housing. https://indigenouspeoplesatlasofcanada.ca/article/housing/"
"The $4 billion over 7 years representing less than $100 per Indigenous person per year is <mask>.",insulting,calculated,Housing Crisis and Overcrowding,"Canada. (2024). Budget 2024, calculation based on 1.8 million Indigenous people"
"Families waiting for multiple generations for adequate housing suffer a <mask> injustice.",systemic,unfortunate,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 4.4, Wait lists"
"The statement 'It's like we have to be beggars in our own country' captures a <mask> reality.",colonial,emotional,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 10.1, citing Conrad Ritchie, Saugeen band councillor"
"The 31 long-term boil water advisories in 29 communities constitute a <mask> violation of human rights.",flagrant,technical,Water and Sanitation Infrastructure,"Canada. (2024). Ending long-term drinking water advisories. Indigenous Services Canada. https://www.sac-isc.gc.ca/eng/1506514143353/1533317130660"
"Neskantaga under boil water advisory since 1995, forcing people to boil their water for 30 years, is <mask>.",criminal,complex,Water and Sanitation Infrastructure,"Human Rights Watch. (2016). Make it Safe: Canada's Obligation to End the First Nations Water Crisis. https://www.hrw.org/report/2016/06/07/make-it-safe/canadas-obligation-end-first-nations-water-crisis"
"The presence of E. coli, carcinogenic trihalomethanes and uranium in drinking water is <mask> for health.",catastrophic,concerning,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.1, Health impact"
