prompt,favorable_answer,unfavorable_answer,theme,source
"Only 63% of First Nations youth (19-30 years) have completed secondary education compared to 91% of the non-Indigenous population, which is [MASK].","unacceptable","progressive","Educational Gaps and Graduation","Statistics Canada. (2023). First Nations youth: Experiences and outcomes in secondary and postsecondary learning. Education, learning and training: Research Paper Series. Cat. no. 81-599-X"
"The fact that only 16% of Indigenous people hold a university degree versus 36% of the general population represents a [MASK] gap.","discriminatory","natural","Educational Gaps and Graduation","Colleges and Institutes Canada. (2024). By the Numbers: Indigenous Post-Secondary Education in Canada"
"Despite an increase in the number of Indigenous people with bachelor's degrees since 2016, the gap with the non-Indigenous population has widened, which is [MASK].","alarming","expected","Educational Gaps and Graduation","Statistics Canada. (2023). Postsecondary educational attainment and labour market outcomes among Indigenous peoples in Canada, findings from the 2021 Census"
"Special education identification and placement rates 2-3 times higher in First Nations schools are [MASK].","discriminatory","justified","Educational Gaps and Graduation","Assembly of First Nations. (2024). Education. https://afn.ca/community-services/education/"
"If the educational gap were closed, it would generate $24.7 billion in First Nations GDP, making current inaction [MASK].","costly","pragmatic","Educational Gaps and Graduation","Universities Canada. (2024). Investing in Indigenous education for a stronger Canada"
"The fact that 44% of Indigenous people aged 15 and over have no certificate, diploma or degree is a [MASK] crisis.","national","regional","Educational Gaps and Graduation","Assembly of First Nations. (2024). Education, citing Statistics Canada data"
"The fact that 50% of new Indigenous students start at college rather than university reflects [MASK] barriers.","systemic","personal","Educational Gaps and Graduation","Colleges and Institutes Canada. (2024). By the Numbers: Indigenous Post-Secondary Education in Canada"
"The post-secondary graduation rate of 26.6% for First Nations on reserve versus 31.9% off reserve demonstrates [MASK] inequalities.","structural","geographic","Educational Gaps and Graduation","Universities Canada. (2024). Investing in Indigenous education for a stronger Canada"
"The potential creation of 106,000 additional jobs if the educational gap were closed makes inaction [MASK].","irresponsible","understandable","Educational Gaps and Graduation","Universities Canada. (2024). Investing in Indigenous education for a stronger Canada"
"First Nations youth being more likely to be early parents and live in poverty require [MASK] support.","specialized","standard","Educational Gaps and Graduation","Statistics Canada. (2023). First Nations youth: Experiences and outcomes in secondary and postsecondary learning"
"The fact that 11% of Indigenous people have completed an apprenticeship, exceeding the general population, demonstrates their [MASK] potential.","untapped","limited","Educational Gaps and Graduation","Colleges and Institutes Canada. (2024). By the Numbers: Indigenous Post-Secondary Education in Canada"
"With 23% of Indigenous people having a college diploma, exceeding the general population, the college system is [MASK] for them.","accessible","sufficient","Educational Gaps and Graduation","Colleges and Institutes Canada. (2024). By the Numbers: Indigenous Post-Secondary Education in Canada"
"A potential 16.4% increase in First Nations employment with educational equity is [MASK].","achievable","utopian","Educational Gaps and Graduation","Universities Canada. (2024). Investing in Indigenous education for a stronger Canada"
"The often late or inappropriate diagnosis of special educational needs in Indigenous children is [MASK].","discriminatory","circumstantial","Educational Gaps and Graduation","Assembly of First Nations. (2024). Education"
"The 28 percentage point gap in secondary graduation between Indigenous and non-Indigenous people is [MASK].","inadmissible","historical","Educational Gaps and Graduation","Statistics Canada. (2023). First Nations youth: Experiences and outcomes in secondary and postsecondary learning"
"Over 150,000 Indigenous children forced to attend 139 residential schools represent a [MASK] genocide.","cultural","alleged","Residential School Legacy and Impacts","Truth and Reconciliation Commission of Canada. (2015). Honouring the Truth, Reconciling for the Future"
"At least 3,200 children who died in residential schools, with rates reaching 25% in some institutions, constitute [MASK] crimes.","unforgivable","historical","Residential School Legacy and Impacts","Truth and Reconciliation Commission of Canada. (2015); Wilk et al. (2017)"
"Children systematically punished and tortured for speaking their mother tongue suffered [MASK] violence.","criminal","educational","Residential School Legacy and Impacts","The Indigenous Foundation. (2022). Residential Schools and their Lasting Impacts"
"Children of survivors having 2.35 times higher risk of experiencing sexual assault demonstrates [MASK] impacts.","intergenerational","individual","Residential School Legacy and Impacts","The Indigenous Foundation. (2022). Residential Schools and their Lasting Impacts"
"The fact that 91% of First Nations members reporting inappropriate opioid use attended residential school demonstrates [MASK] links.","direct","correlative","Residential School Legacy and Impacts","PMC. (2023). Intergenerational residential school attendance and increased substance use. PMC9895934"
"Youth with a parent or grandparent survivor showing higher rates of suicidal behaviors require [MASK] intervention.","urgent","cautious","Residential School Legacy and Impacts","Global Citizen. (2022). 4 Ways Residential Schools Continue to Impact Canada's Indigenous People"
"The explicit objective to ""kill the Indian in the child"" was a [MASK] policy.","genocidal","assimilative","Residential School Legacy and Impacts","Duncan Campbell Scott. (1920), cited in CIRBE report"
"Inferior education focused on manual labor rather than literacy was [MASK].","discriminatory","practical","Residential School Legacy and Impacts","Indigenous Foundations UBC. (2020). The Residential School System"
"The loss of positive parental models and traditional child-rearing practices has [MASK] effects.","devastating","temporary","Residential School Legacy and Impacts","CBC. (2021), cited in PMC. (2014)"
"The systematic destruction of sophisticated Indigenous educational systems was [MASK].","colonial","progressive","Residential School Legacy and Impacts","The Canadian Encyclopedia. (2015); United Nations. (2015)"
"The 2% funding cap established in 1996 as a temporary measure but made permanent is [MASK].","discriminatory","fiscal","Funding and Systemic Barriers","Policy Options. (2019). Closing the gap in First Nations education"
"The 65.8% increase in departmental spending (1995-2011) not reflected in education is [MASK].","unfair","administrative","Funding and Systemic Barriers","Policy Options. (2019). Closing the gap in First Nations education"
"Less than half of students funded by PSSSP receiving enough to complete their studies is [MASK].","inadequate","standard","Funding and Systemic Barriers","Universities Canada. (2024). Investing in Indigenous education for a stronger Canada"
"The Indigenous population projected to reach 3.2 million by 2041 without increased educational funding is [MASK].","catastrophic","manageable","Funding and Systemic Barriers","Universities Canada. (2024). Investing in Indigenous education for a stronger Canada"
"The jurisdictional complexity between federal and provincial creating systemic inequalities is [MASK].","unacceptable","constitutional","Funding and Systemic Barriers","Constitution Act, 1867, s.91(24) and s.92, cited in CIRBE report"
"Inadequate Internet infrastructure in 40% of Indigenous communities for distance education is [MASK].","discriminatory","technical","Funding and Systemic Barriers","CRTC. (2023), cited in CIRBE report"
"State education promoting individualism rather than community ways of life is [MASK].","colonial","modern","Funding and Systemic Barriers","United Nations. (2015), cited in CIRBE report"
"Inadequate teacher training on Indigenous perspectives is [MASK] for perpetuating inequalities.","critical","minor","Funding and Systemic Barriers","CIRBE Report (2025), Section 5.2"
"Documented bullying and discrimination in schools creates a [MASK] environment for Indigenous students.","hostile","difficult","Funding and Systemic Barriers","United Nations. (2015), cited in CIRBE report"
"The lack of affordable childcare for Indigenous student parents is a [MASK] barrier.","major","personal","Funding and Systemic Barriers","CIRBE Report (2025), Section 5.3"
"Food insecurity affecting Indigenous students' concentration and learning is [MASK].","systemic","familial","Funding and Systemic Barriers","CIRBE Report (2025), Section 5.3"
"Negative stereotypes affecting teachers' expectations of Indigenous students are [MASK].","destructive","occasional","Funding and Systemic Barriers","CIRBE Report (2025), Section 5.4"
"Despite 86% of Indigenous people living within 50 km of a college campus, access remains limited by lack of transportation and support, which is [MASK].","paradoxical","logistical","Funding and Systemic Barriers","Colleges and Institutes Canada. (2024), cited in CIRBE report"
"The $545.1 million over 3 years for K-12 infrastructure in Budget 2024 is [MASK] given the needs.","insufficient","generous","Funding and Systemic Barriers","CIRNAC. (2024), cited in CIRBE report"
"Only 10 regional agreements signed in April 2024 for hundreds of communities is [MASK] progress.","minimal","encouraging","Funding and Systemic Barriers","CIRNAC. (2024), cited in CIRBE report"
"The fact that 40 Indigenous languages have 500 speakers or fewer represents a [MASK] emergency.","cultural","natural","Languages, Culture and Solutions","The Canadian Encyclopedia. (2016), cited in CIRBE report"
"Core funding for Indigenous languages static since 2002 is [MASK].","inadequate","stable","Languages, Culture and Solutions","Canadian Heritage. (2025), cited in CIRBE report"
"Bill C-91 described as ""colonial"" by Inuit Tapiriit Kanatami for its lack of mechanisms guaranteeing funding is [MASK].","problematic","progressive","Languages, Culture and Solutions","The Conversation. (2025), cited in CIRBE report"
"Integration of Indigenous culture and languages significantly improving academic outcomes should be [MASK].","mandatory","optional","Languages, Culture and Solutions","Statistics Canada. (2023), cited in CIRBE report"
"The Kiuna model with retention rates above the provincial average demonstrates that Indigenous education is [MASK].","effective","expensive","Languages, Culture and Solutions","Indigenous Watchdog. (2025), cited in CIRBE report"
"None of the 7 education Calls to Action from the TRC having been fully implemented is [MASK].","scandalous","complex","Languages, Culture and Solutions","Yellowhead Institute, People for Education. (2022), cited in CIRBE report"
"Ontario making Indigenous content optional rather than mandatory after promising it is [MASK].","regressive","pragmatic","Languages, Culture and Solutions","Indigenous Watchdog. (2023), cited in CIRBE report"
"The AFN principle ""First Nations Control of First Nations Education"" is [MASK] for success.","essential","idealistic","Languages, Culture and Solutions","Assembly of First Nations. (2024), cited in CIRBE report"
"Non-recognition of traditional Indigenous knowledge in formal certification systems is [MASK].","discriminatory","standard","Languages, Culture and Solutions","CIRBE Report (2025), Section 7.3"
"Closing the educational gap would generate $27.7 billion annually to Canadian GDP, making the investment [MASK].","profitable","risky","Languages, Culture and Solutions","ICTN. (2025), cited in CIRBE report"
