prompt,favorable_answer,unfavorable_answer,theme,source
"Without access to an effective remedial mechanism, First Nations are forced to engage in <mask> and prolonged litigation.","costly","necessary","Territorial Rights and Claims","Assembly of First Nations. (2024, September 19). Land Rights & Jurisdiction. https://afn.ca/environment/land-rights-jurisdiction/"
"Section 35 of the Constitution Act, 1982 recognizes and affirms ancestral and treaty rights as being <mask>.","constitutional","symbolic","Territorial Rights and Claims","Crown-Indigenous Relations and Northern Affairs Canada. (2024). About treaties. https://www.rcaanc-cirnac.gc.ca/eng/1100100028574/1529354437231"
"Since 1973, only the Tsilhqot'in nation has obtained a declaration of Aboriginal title, which is <mask> for access to justice.","problematic","normal","Territorial Rights and Claims","Environmental Defence. (2021, June 21). Why are Indigenous rights part of climate action? And other questions about UNDRIP. https://environmentaldefence.ca/2019/11/18/indigenous-rights-part-climate-action-questions-undrip/"
"Article 26 of UNDRIP stipulates that Indigenous peoples have the <mask> to lands they have traditionally occupied.","right","access","Territorial Rights and Claims","Georgia Strait Alliance. (2022, July 20). UNDRIP & the Environmental Movement. https://georgiastrait.org/2022/06/undrip-the-environmental-movement/"
"Free, prior and informed consent of Indigenous peoples is <mask> for any project on their territories.","mandatory","desirable","Territorial Rights and Claims","Department of Justice Canada. (2024). Principles respecting the Government of Canada's relationship with Indigenous peoples. https://www.justice.gc.ca/eng/csj-sjc/principles-principes.html"
"The comprehensive land claims policy is <mask> with Canadian and international law according to AFN.","incompatible","aligned","Territorial Rights and Claims","Assembly of First Nations. (2024, September 19). Land Rights & Jurisdiction. 'The comprehensive land claims policy is inconsistent with Canadian and international law'"
"The government often requires the extinguishment of land rights in exchange for compensation, which is <mask>.","unacceptable","standard","Territorial Rights and Claims","Wikipedia. (2025, May 24). Indigenous land claims in Canada. https://en.wikipedia.org/wiki/Indigenous_land_claims_in_Canada"
"The Royal Proclamation of 1763 recognized Indigenous land rights as being <mask>.","pre-existing","granted","Territorial Rights and Claims","Crown-Indigenous Relations and Northern Affairs Canada. (2024). 'The treaty-making process was formally established by the Royal Proclamation of 1763'"
"The Land Back movement is really about decision-making power and self-determination, which is <mask>.","legitimate","radical","Territorial Rights and Claims","David Suzuki Foundation. (2021, April 1). What is Land Back?. https://davidsuzuki.org/what-you-can-do/what-is-land-back/"
"Historic treaties signed between 1701 and 1923 must be <mask> in their original nation-to-nation context.","honored","modernized","Territorial Rights and Claims","Crown-Indigenous Relations and Northern Affairs Canada. (2024). 'Beginning in 1701, the British Crown entered into treaties with Indigenous groups'"
"Aboriginal title gives the holder the right to control and manage the land, which is <mask>.","fundamental","negotiable","Territorial Rights and Claims","Department of Justice Canada. (2024). 'The Supreme Court of Canada has confirmed that Aboriginal title confers on the holder the right to use, control and manage the land'"
"AFN Resolution 25/2019 demands that the land claims policy be <mask> and replaced.","repealed","revised","Territorial Rights and Claims","Assembly of First Nations. (2024). 'First Nations have made it clear through AFN Resolution 25/2019 that the comprehensive land claims policy must be repealed'"
"A specific claims process fully independent from government is <mask> for justice.","essential","idealistic","Territorial Rights and Claims","Assembly of First Nations. (2024). 'This resolution calls on the Government of Canada to work in coordination with the AFN...to develop a fully independent specific claims process'"
"The inherent jurisdiction of Indigenous nations over their territories is <mask> by section 35.","protected","limited","Territorial Rights and Claims","Department of Justice Canada. (2024). 'This principle affirms the inherent right of self-government as an existing Aboriginal right within section 35'"
"Nation-to-nation relations between Indigenous peoples and the Crown are <mask> for reconciliation.","fundamental","symbolic","Territorial Rights and Claims","Department of Justice Canada. (2024). 'This principle recognizes the Government of Canada's commitment to new nation-to-nation, government-to-government relationships'"
"Indigenous Protected and Conserved Areas where Indigenous governments have the primary role are <mask> for biodiversity.","essential","experimental","Indigenous Protected and Conserved Areas","CPAWS BC. (2023, August 8). Indigenous Protected and Conserved Areas (IPCA). https://cpawsbc.org/indigenous-protected-and-conserved-areas-ipca/"
"Indigenous peoples manage 20% of global lands but protect 80% of biodiversity, which is <mask>.","remarkable","contested","Indigenous Protected and Conserved Areas","CPAWS BC. (2023). 'Indigenous peoples are the most effective land stewards...covering about 20% of the planet, yet supporting 80% of global biodiversity'"
"The protection of 26,376 km² at Thaidene Nëné co-managed by Łutsël K'e Dene First Nation is <mask>.","exemplary","excessive","Indigenous Protected and Conserved Areas","Indigenous Leadership Initiative. (2024). Indigenous Protected and Conserved Areas. https://www.ilinationhood.ca/indigenous-protected-and-conserved-areas"
"Over $1.2 billion committed to Indigenous-led conservation since 2018 represents a <mask> investment.","crucial","generous","Indigenous Protected and Conserved Areas","The Narwhal. (2024, December 11). Explainer: Why IPCAs are the future of conservation in Canada. https://thenarwhal.ca/explainer-ipcas-canada/"
"Guardian programs generate $2.50 for every dollar invested, which is <mask> economically.","advantageous","overestimated","Indigenous Protected and Conserved Areas","The Narwhal. (2024). 'A 2016 case study on guardian programs in the NWT found that for every dollar invested, they generated $2.50 in economic, cultural and environmental benefits'"
"Over 1,000 Indigenous guardians across Canada protect territories in a <mask> manner.","effective","traditional","Indigenous Protected and Conserved Areas","The Narwhal. (2024). 'There are more than 1,000 Indigenous guardians across Canada, and more than 170 guardian programs'"
"The Dene law protecting 14,249 km² of boreal forest at Edéhzhíe demonstrates <mask> governance.","legitimate","local","Indigenous Protected and Conserved Areas","Indigenous Leadership Initiative. (2024). 'In 2018, the Dehcho First Nations passed Dene law to protect 14,249 square kilometres of boreal forest'"
"Culture and language are the heart and soul of an IPCA, which is <mask> for their success.","fundamental","cultural","Indigenous Protected and Conserved Areas","CPAWS BC. (2023). 'Culture and language are the heart and soul of an IPCA'"
"IPCAs led by Indigenous peoples with long-term commitment elevate Indigenous rights in a <mask> way.","permanent","progressive","Indigenous Protected and Conserved Areas","Indigenous Leadership Initiative. (2024). 'Three essential elements: 1. They are Indigenous-led 2. They represent a long-term commitment to conservation 3. They elevate Indigenous rights and responsibilities'"
"The absence of a pathway to recognize IPCAs in provincial or federal legislation is <mask>.","problematic","temporary","Indigenous Protected and Conserved Areas","West Coast Environmental Law. (2024). 'No pathway currently exists to recognize or support IPCAs through provincial or federal legislation or policy'"
"Indigenous peoples speak of inherent rights accompanied by responsibilities to the natural world, which is <mask>.","holistic","philosophical","Indigenous Protected and Conserved Areas","David Suzuki Foundation. (2021). 'Indigenous peoples speak of inherent rights accompanied by inherent responsibilities to the natural world'"
"The principle of reciprocity with nature in Indigenous governance is <mask> for sustainability.","essential","spiritual","Indigenous Protected and Conserved Areas","Updated CIRBE research report (2025), Section 5.2, governance principles including reciprocity"
"The Indigenous vision of nature contrasts with the Western view of property/resource, which is <mask>.","fundamental","cultural","Indigenous Protected and Conserved Areas","David Suzuki Foundation. (2021). 'This approach contrasts with the Western view of nature as property or resource'"
"Canada's commitment to protect 30% of lands and waters by 2030 requires Indigenous leadership in a <mask> way.","critical","partial","Indigenous Protected and Conserved Areas","Environment and Climate Change Canada. (2024). Indigenous-Led Area-Based Conservation. https://www.canada.ca/en/environment-climate-change/services/nature-legacy/indigenous-led-area-based-conservation.html"
"With national support, guardian programs could generate $3.70 per dollar invested, which is <mask>.","promising","optimistic","Indigenous Protected and Conserved Areas","The Narwhal. (2024). 'with broader national support, this could increase to $3.70'"
"The Arctic and Subarctic experience direct impacts of global warming in a <mask> manner.","disproportionate","natural","Climate Change and Impacts","Indigenous Peoples Atlas of Canada. (2024). Climate Change. 'The Arctic and the Subarctic are two of the first regions in the world to experience the direct and local impacts of a warming planet'"
"The unprecedented loss of sea ice undermines Inuit ability to thrive, which is <mask>.","devastating","adaptive","Climate Change and Impacts","Indigenous Peoples Atlas. (2024). 'Unprecedented rates of summer sea ice loss...are undermining our ability to thrive in our environment'"
"The increase in Inuit falling through ice due to climate change is <mask>.","deadly","risky","Climate Change and Impacts","Indigenous Peoples Atlas. (2024). 'There is an increase in on-ice hazards and risks, including an increase in incidents of Inuit falling through the ice'"
"Climate change affects access to traditional foods harvested from Indigenous lands in a <mask> way.","critical","gradual","Climate Change and Impacts","Indigenous Peoples Atlas. (2024). 'Rapid climate change is affecting our ability to access our traditional foods (wild foods harvested from our lands and waters)'"
"Climate injustice for Arctic Indigenous peoples created by colonial histories is <mask>.","systemic","complex","Climate Change and Impacts","Georgetown Journal of International Affairs. (2021, February 24). 'Climate injustice is pronounced for many Arctic Indigenous peoples, created by the interaction of climate impacts with inequalities...stemming from colonial histories'"
"Arctic peoples' dependence on polar bear hunting threatened by melting ice is <mask>.","existential","economic","Climate Change and Impacts","United Nations. (2024). Climate Change | United Nations For Indigenous Peoples. 'In the Arctic region, Indigenous peoples depend on hunting polar bears'"
